rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
5460	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	2616	13	0	0	2	0	0	0	2	2	2	2.074801e-01	1	5.800000e-01	5.337881e-01	1
5461	BCS1L	BCS1-like (yeast)	1290	33	0	0	1	0	0	0	1	1	1	5.338551e-01	NaN	NaN	5.338551e-01	1
5462	ZNF627	zinc finger protein 627	1398	35	0	0	1	0	0	0	1	1	1	5.339302e-01	NaN	NaN	5.339302e-01	1
5463	CARKD	carbohydrate kinase domain containing	1211	68	0	0	1	0	0	0	1	1	1	5.339607e-01	NaN	NaN	5.339607e-01	1
5464	RNF13	ring finger protein 13	1182	10	0	1	2	0	0	0	2	2	2	2.076218e-01	1	4.850000e-01	5.340110e-01	1
5465	QTRTD1	queuine tRNA-ribosyltransferase domain containing 1	1373	60	0	0	2	0	0	0	2	2	2	2.076629e-01	1	9.040000e-01	5.340756e-01	1
5466	OR2M2	olfactory receptor, family 2, subfamily M, member 2	1042	13	0	0	1	0	0	1	2	2	2	2.077725e-01	1	8.810000e-01	5.342479e-01	1
5467	LONP2	lon peptidase 2, peroxisomal	2617	4	0	0	1	0	0	0	1	1	1	5.342836e-01	NaN	NaN	5.342836e-01	1
5468	CA3	carbonic anhydrase III, muscle specific	809	108	0	0	1	0	0	0	1	1	1	5.342859e-01	NaN	NaN	5.342859e-01	1
5469	OR4Q3	olfactory receptor, family 4, subfamily Q, member 3	940	22	0	1	0	1	0	0	1	1	1	5.343565e-01	NaN	NaN	5.343565e-01	1
5470	IQCD	IQ motif containing D	1052	28	0	0	1	0	0	0	1	1	1	5.343713e-01	NaN	NaN	5.343713e-01	1
5471	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	2548	4	0	1	3	1	0	0	4	4	4	2.886984e-01	1	6.170000e-01	5.343898e-01	1
5472	TRPV3	transient receptor potential cation channel, subfamily V, member 3	2441	7	0	0	1	0	0	0	1	1	1	5.344109e-01	NaN	NaN	5.344109e-01	1
5473	HAO2	hydroxyacid oxidase 2 (long chain)	1087	15	0	0	2	0	0	0	2	2	2	2.078982e-01	1	8.210000e-01	5.344453e-01	1
5474	DUOXA1	dual oxidase maturation factor 1	1580	26	0	0	1	0	0	0	1	1	1	5.345045e-01	NaN	NaN	5.345045e-01	1
5475	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	2220	2	0	0	1	0	0	0	1	1	1	5.347319e-01	NaN	NaN	5.347319e-01	1
5476	TLX1NB	TLX1 neighbor	464	3	1	0	1	0	0	0	1	1	1	5.347591e-01	NaN	NaN	5.347591e-01	1
5477	C2orf24	chromosome 2 open reading frame 24	1348	29	0	0	1	0	0	0	1	1	1	5.347807e-01	NaN	NaN	5.347807e-01	1
5478	ADAM15	ADAM metallopeptidase domain 15	2755	13	2	1	4	0	0	1	5	5	5	2.082374e-01	1	4.810000e-01	5.349778e-01	1
5479	NEUROD4	neurogenic differentiation 4	1000	11	0	1	0	1	0	0	1	1	1	5.350367e-01	NaN	NaN	5.350367e-01	1
5480	VPS4A	vacuolar protein sorting 4 homolog A (S. cerevisiae)	1354	20	1	1	1	0	0	0	1	1	1	5.351275e-01	NaN	NaN	5.351275e-01	1
5481	SHQ1	SHQ1 homolog (S. cerevisiae)	1775	38	0	0	1	0	0	0	1	1	1	5.353064e-01	NaN	NaN	5.353064e-01	1
5482	CYR61	cysteine-rich, angiogenic inducer, 61	1162	29	0	0	1	0	0	0	1	1	1	5.354507e-01	NaN	NaN	5.354507e-01	1
5483	ATP4B	ATPase, H+/K+ exchanging, beta polypeptide	902	104	0	0	1	0	0	0	1	1	1	5.354580e-01	NaN	NaN	5.354580e-01	1
5484	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	772	0	0	0	1	0	0	0	1	1	1	5.355049e-01	NaN	NaN	5.355049e-01	1
5485	TRIP10	thyroid hormone receptor interactor 10	1712	16	0	0	1	0	0	0	1	1	1	5.356351e-01	NaN	NaN	5.356351e-01	1
5486	C20orf151	chromosome 20 open reading frame 151	2047	61	0	0	1	0	0	0	1	1	1	5.357466e-01	NaN	NaN	5.357466e-01	1
5487	TOP1	topoisomerase (DNA) I	2378	5	0	1	2	0	1	0	3	3	3	2.088205e-01	1	9.940000e-01	5.358919e-01	1
5488	HIST3H3	histone cluster 3, H3	413	3	1	0	1	0	0	0	1	1	1	5.359249e-01	NaN	NaN	5.359249e-01	1
5489	ATXN1L	ataxin 1-like	2070	0	0	0	2	0	0	1	3	3	3	6.328738e-01	1	2.820000e-01	5.359355e-01	1
5490	VEGFC	vascular endothelial growth factor C	1287	6	0	0	1	0	0	0	1	1	1	5.359462e-01	NaN	NaN	5.359462e-01	1
5491	DCBLD1	discoidin, CUB and LCCL domain containing 1	2069	24	0	0	1	0	0	0	1	1	1	5.360165e-01	NaN	NaN	5.360165e-01	1
5492	KIAA1432	KIAA1432	4207	20	1	0	3	0	1	0	4	4	4	2.089430e-01	1	5.880000e-01	5.360838e-01	1
5493	ZNF488	zinc finger protein 488	1026	86	0	0	1	0	0	0	1	1	1	5.362700e-01	NaN	NaN	5.362700e-01	1
5494	GP6	glycoprotein VI (platelet)	1893	19	0	0	1	0	0	0	1	1	1	5.363345e-01	NaN	NaN	5.363345e-01	1
5495	NUP155	nucleoporin 155kDa	4316	4	0	0	2	0	0	0	2	2	2	3.563029e-01	1	5.220000e-01	5.364074e-01	1
5496	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4	2122	6	0	1	0	0	1	0	1	1	1	5.369487e-01	NaN	NaN	5.369487e-01	1
5497	HS3ST4	heparan sulfate (glucosamine) 3-O-sulfotransferase 4	1375	10	0	0	1	0	0	0	1	1	1	5.369557e-01	NaN	NaN	5.369557e-01	1
5498	SAE1	SUMO1 activating enzyme subunit 1	1147	41	0	0	1	0	0	0	1	1	1	5.369687e-01	NaN	NaN	5.369687e-01	1
5499	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	1609	7	0	0	2	0	0	0	2	2	2	2.095300e-01	1	9.070000e-01	5.370020e-01	1
5500	ACCN4	amiloride-sensitive cation channel 4, pituitary	2037	82	0	0	0	0	0	1	1	1	1	5.371309e-01	NaN	NaN	5.371309e-01	1
5501	SLC43A2	solute carrier family 43, member 2	1762	54	0	0	1	0	0	0	1	1	1	5.372081e-01	NaN	NaN	5.372081e-01	1
5502	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	1728	23	0	0	1	0	0	0	1	1	1	5.372535e-01	NaN	NaN	5.372535e-01	1
5503	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	5702	0	0	0	4	1	0	1	6	6	6	2.097167e-01	1	7.810000e-01	5.372938e-01	1
5504	TMEM108	transmembrane protein 108	1748	83	1	0	0	0	1	0	1	1	1	5.373186e-01	NaN	NaN	5.373186e-01	1
5505	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	5027	5	0	3	6	0	0	1	7	7	7	4.520446e-01	1	3.640000e-01	5.373437e-01	1
5506	EIF3J	eukaryotic translation initiation factor 3, subunit J	805	50	0	0	1	0	0	0	1	1	1	5.374273e-01	NaN	NaN	5.374273e-01	1
5507	AP1M1	adaptor-related protein complex 1, mu 1 subunit	1356	26	0	1	1	0	0	0	1	1	1	5.374388e-01	NaN	NaN	5.374388e-01	1
5508	RNF128	ring finger protein 128	1719	17	0	0	2	0	0	0	2	2	2	2.099282e-01	1	9.440000e-01	5.376240e-01	1
5509	MMP19	matrix metallopeptidase 19	1559	6	0	0	1	0	0	0	1	1	1	5.376671e-01	NaN	NaN	5.376671e-01	1
5510	OR5V1	olfactory receptor, family 5, subfamily V, member 1	967	24	0	2	1	0	0	1	2	2	2	4.740904e-01	1	4.250000e-01	5.377704e-01	1
5511	C22orf33	chromosome 22 open reading frame 33	865	39	0	0	2	0	0	0	2	2	2	2.105794e-01	1	5.030000e-01	5.386394e-01	1
5512	OR4K2	olfactory receptor, family 4, subfamily K, member 2	945	19	0	1	1	0	0	0	1	1	1	5.387525e-01	NaN	NaN	5.387525e-01	1
5513	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	1564	59	1	0	0	0	0	1	1	1	1	5.387917e-01	NaN	NaN	5.387917e-01	1
5514	GTF2IRD2	GTF2I repeat domain containing 2	2910	6	0	0	1	0	0	0	1	1	1	5.387928e-01	NaN	NaN	5.387928e-01	1
5515	TTPA	tocopherol (alpha) transfer protein	855	206	0	0	1	0	0	0	1	1	1	5.388456e-01	NaN	NaN	5.388456e-01	1
5516	DFNB59	deafness, autosomal recessive 59	1317	87	0	0	2	0	0	0	2	2	2	2.107144e-01	1	6.650000e-01	5.388498e-01	1
5517	THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	1628	30	0	0	3	0	0	0	3	3	3	2.108507e-01	1	8.400000e-01	5.390619e-01	1
5518	NECAB1	N-terminal EF-hand calcium binding protein 1	1104	52	0	0	1	0	0	0	1	1	1	5.390982e-01	NaN	NaN	5.390982e-01	1
5519	SGSH	N-sulfoglucosamine sulfohydrolase (sulfamidase)	1809	110	1	0	1	0	0	0	1	1	1	5.391280e-01	NaN	NaN	5.391280e-01	1
5520	TSGA13	testis specific, 13	854	36	0	0	1	0	0	0	1	1	1	5.391329e-01	NaN	NaN	5.391329e-01	1
5521	GRINA	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	1140	115	0	0	2	0	0	0	2	2	2	2.110877e-01	1	9.350000e-01	5.394307e-01	1
5522	LCT	lactase	5850	26	1	3	6	0	0	0	6	6	6	5.468733e-01	1	3.540000e-01	5.394391e-01	1
5523	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	1226	7	1	0	1	0	0	0	1	1	1	5.395459e-01	NaN	NaN	5.395459e-01	1
5524	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	976	97	0	1	1	0	0	0	1	1	1	5.396479e-01	NaN	NaN	5.396479e-01	1
5525	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2	4592	10	0	0	0	1	0	0	1	1	1	5.396733e-01	NaN	NaN	5.396733e-01	1
5526	TMCO4	transmembrane and coiled-coil domains 4	1957	126	0	1	1	0	0	0	1	1	1	5.398697e-01	NaN	NaN	5.398697e-01	1
5527	GLYATL2	glycine-N-acyltransferase-like 2	905	17	0	0	2	0	0	0	2	2	2	2.114893e-01	1	6.510000e-01	5.400551e-01	1
5528	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	2630	6	0	0	1	0	0	0	1	1	1	5.404150e-01	NaN	NaN	5.404150e-01	1
5529	PRAME	preferentially expressed antigen in melanoma	1550	2	1	0	1	0	0	0	1	1	1	5.404489e-01	NaN	NaN	5.404489e-01	1
5530	FPR1	formyl peptide receptor 1	1057	49	0	0	1	0	0	0	1	1	1	5.404799e-01	NaN	NaN	5.404799e-01	1
5531	ATF7IP	activating transcription factor 7 interacting protein	3869	3	0	0	1	0	0	1	2	2	2	5.168231e-01	1	3.900000e-01	5.406887e-01	1
5532	ACTL9	actin-like 9	1253	22	0	0	2	0	0	0	2	2	2	3.322352e-01	1	4.330000e-01	5.407952e-01	1
5533	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	2724	35	0	0	1	0	0	0	1	1	1	5.408628e-01	NaN	NaN	5.408628e-01	1
5534	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	1514	11	0	0	1	0	0	0	1	1	1	5.410928e-01	NaN	NaN	5.410928e-01	1
5535	UPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast)	1494	28	1	0	1	0	0	1	2	2	2	2.755342e-01	1	5.900000e-01	5.410980e-01	1
5536	UBL7	ubiquitin-like 7 (bone marrow stromal cell-derived)	1183	17	0	0	1	0	0	0	1	1	1	5.411198e-01	NaN	NaN	5.411198e-01	1
5537	PJA2	praja 2, RING-H2 motif containing	2163	44	0	0	3	0	0	0	3	3	3	2.122179e-01	1	4.500000e-01	5.411857e-01	1
5538	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	1056	13	0	0	1	0	0	0	1	1	1	5.413711e-01	NaN	NaN	5.413711e-01	1
5539	CPEB4	cytoplasmic polyadenylation element binding protein 4	2226	12	0	1	1	1	0	0	2	2	2	2.123387e-01	1	3.390000e-01	5.413729e-01	1
5540	PCDP1		1729	26	0	0	1	0	0	0	1	1	1	5.413872e-01	NaN	NaN	5.413872e-01	1
5541	GTF2E1	general transcription factor IIE, polypeptide 1, alpha 56kDa	1386	4	0	0	1	0	0	0	1	1	1	5.415832e-01	NaN	NaN	5.415832e-01	1
5542	PFDN6	prefoldin subunit 6	1557	8	1	0	1	0	0	0	1	1	1	5.416686e-01	NaN	NaN	5.416686e-01	1
5543	ATP5SL	ATP5S-like	836	29	0	1	1	0	0	0	1	1	1	5.419630e-01	NaN	NaN	5.419630e-01	1
5544	LETMD1	LETM1 domain containing 1	1117	10	0	0	1	0	0	0	1	1	1	5.420244e-01	NaN	NaN	5.420244e-01	1
5545	C3orf17	chromosome 3 open reading frame 17	1738	17	0	0	1	0	0	0	1	1	1	5.421705e-01	NaN	NaN	5.421705e-01	1
5546	FOXR2	forkhead box R2	936	8	1	0	1	0	0	0	1	1	1	5.422289e-01	NaN	NaN	5.422289e-01	1
5547	RTN3	reticulon 3	3205	7	1	0	1	0	0	0	1	1	1	5.423125e-01	NaN	NaN	5.423125e-01	1
5548	BLK	B lymphoid tyrosine kinase	1565	31	0	0	1	0	0	1	2	2	2	2.129578e-01	1	6.480000e-01	5.423314e-01	1
5549	ZZZ3	zinc finger, ZZ-type containing 3	2756	3	0	0	2	0	0	0	2	2	2	8.876852e-01	1	9.100000e-02	5.424654e-01	1
5550	ERI1	exoribonuclease 1	1074	45	0	0	1	0	0	0	1	1	1	5.424721e-01	NaN	NaN	5.424721e-01	1
5551	PLA2G4D	phospholipase A2, group IVD (cytosolic)	2535	9	0	0	0	0	0	1	1	1	1	5.424901e-01	NaN	NaN	5.424901e-01	1
5552	SLC25A27	solute carrier family 25, member 27	1176	3	0	0	1	0	0	0	1	1	1	5.425925e-01	NaN	NaN	5.425925e-01	1
5553	ANGPTL4	angiopoietin-like 4	1245	19	0	1	1	0	0	0	1	1	1	5.425932e-01	NaN	NaN	5.425932e-01	1
5554	YSK4	yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	4025	10	0	1	1	0	0	1	2	2	2	4.075398e-01	1	4.380000e-01	5.426182e-01	1
5555	STAB1	stabilin 1	7991	28	0	3	4	0	2	1	7	7	7	2.132990e-01	1	5.770000e-01	5.428587e-01	1
5556	SPATA16	spermatogenesis associated 16	1751	4	0	2	2	0	0	0	2	2	2	7.484402e-01	1	2.490000e-01	5.428688e-01	1
5557	CCM2	cerebral cavernous malformation 2	1468	16	0	1	2	0	0	0	2	2	2	2.133055e-01	1	4.690000e-01	5.428688e-01	1
5558	SLC39A11	solute carrier family 39 (metal ion transporter), member 11	1065	27	0	0	1	0	0	0	1	1	1	5.429601e-01	NaN	NaN	5.429601e-01	1
5559	TEF	thyrotrophic embryonic factor	995	28	0	0	1	0	0	0	1	1	1	5.430571e-01	NaN	NaN	5.430571e-01	1
5560	LPGAT1	lysophosphatidylglycerol acyltransferase 1	1141	10	0	0	1	0	0	0	1	1	1	5.433438e-01	NaN	NaN	5.433438e-01	1
5561	MMP8	matrix metallopeptidase 8 (neutrophil collagenase)	1442	24	0	0	1	0	0	0	1	1	1	5.433732e-01	NaN	NaN	5.433732e-01	1
5562	RPA1	replication protein A1, 70kDa	1952	18	0	0	0	0	0	1	1	1	1	5.434987e-01	NaN	NaN	5.434987e-01	1
5563	ZNF22	zinc finger protein 22 (KOX 15)	1015	48	0	0	1	0	0	0	1	1	1	5.435801e-01	NaN	NaN	5.435801e-01	1
5564	HK1	hexokinase 1	3006	53	1	1	1	0	0	0	1	1	1	5.436737e-01	NaN	NaN	5.436737e-01	1
5565	PEPD	peptidase D	1538	20	0	1	1	0	1	0	2	1	2	5.437441e-01	NaN	NaN	5.437441e-01	1
5566	C7orf16	chromosome 7 open reading frame 16	484	9	0	0	1	0	0	0	1	1	1	5.438436e-01	NaN	NaN	5.438436e-01	1
5567	DSE	dermatan sulfate epimerase	4026	9	1	0	1	0	0	0	1	1	1	5.438492e-01	NaN	NaN	5.438492e-01	1
5568	AAMP	angio-associated, migratory cell protein	1628	3	0	0	1	0	0	0	1	1	1	5.440370e-01	NaN	NaN	5.440370e-01	1
5569	DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23	2525	24	0	0	3	0	0	0	3	3	3	2.140784e-01	1	8.430000e-01	5.440616e-01	1
5570	CFLAR	CASP8 and FADD-like apoptosis regulator	1537	50	1	0	1	0	0	0	1	1	1	5.440666e-01	NaN	NaN	5.440666e-01	1
5571	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	1404	22	1	0	1	0	0	0	1	1	1	5.440990e-01	NaN	NaN	5.440990e-01	1
5572	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	503	201	0	0	1	0	0	0	1	1	1	5.441320e-01	NaN	NaN	5.441320e-01	1
5573	RTDR1	rhabdoid tumor deletion region gene 1	2038	18	0	0	1	0	0	0	1	1	1	5.441358e-01	NaN	NaN	5.441358e-01	1
5574	KRT222	keratin 222	910	172	0	0	2	0	0	0	2	2	2	2.143059e-01	1	1.680000e-01	5.444121e-01	1
5575	MAN2A2	mannosidase, alpha, class 2A, member 2	3539	0	0	0	1	0	0	0	1	1	1	5.445123e-01	NaN	NaN	5.445123e-01	1
5576	CYP46A1	cytochrome P450, family 46, subfamily A, polypeptide 1	1559	26	0	0	1	0	0	0	1	1	1	5.447955e-01	NaN	NaN	5.447955e-01	1
5577	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	718	11	0	0	1	0	0	0	1	1	1	5.448740e-01	NaN	NaN	5.448740e-01	1
5578	FAM160A2	family with sequence similarity 160, member A2	3001	0	0	0	1	0	0	0	1	1	1	5.449630e-01	NaN	NaN	5.449630e-01	1
5579	TATDN3	TatD DNase domain containing 3	1114	0	0	0	1	0	0	0	1	1	1	5.449803e-01	NaN	NaN	5.449803e-01	1
5580	CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	1465	12	0	0	1	0	0	0	1	1	1	5.452176e-01	NaN	NaN	5.452176e-01	1
5581	SLC39A7	solute carrier family 39 (zinc transporter), member 7	1829	26	0	0	2	0	0	0	2	2	2	2.148403e-01	1	8.250000e-01	5.452347e-01	1
5582	C12orf11	chromosome 12 open reading frame 11	2185	3	0	0	1	0	0	0	1	1	1	5.452639e-01	NaN	NaN	5.452639e-01	1
5583	PGLYRP2	peptidoglycan recognition protein 2	1749	24	0	0	1	0	0	0	1	1	1	5.453020e-01	NaN	NaN	5.453020e-01	1
5584	ODZ1	odz, odd Oz/ten-m homolog 1(Drosophila)	8325	2	0	4	8	0	0	0	8	8	8	9.637007e-01	1	1.520000e-01	5.453346e-01	1
5585	TRIM68	tripartite motif-containing 68	1482	33	1	0	0	0	0	1	1	1	1	5.455262e-01	NaN	NaN	5.455262e-01	1
5586	BLMH	bleomycin hydrolase	1412	21	0	0	1	0	0	0	1	1	1	5.456873e-01	NaN	NaN	5.456873e-01	1
5587	GJA4	gap junction protein, alpha 4, 37kDa	1006	95	0	0	1	0	0	0	1	1	1	5.457565e-01	NaN	NaN	5.457565e-01	1
5588	PARP11	poly (ADP-ribose) polymerase family, member 11	1045	27	0	0	1	0	0	0	1	1	1	5.457650e-01	NaN	NaN	5.457650e-01	1
5589	HIPK2	homeodomain interacting protein kinase 2	3653	6	0	3	2	0	0	1	3	3	3	4.220713e-01	1	3.520000e-01	5.458741e-01	1
5590	LGTN	ligatin	1811	3	0	0	1	0	0	1	2	2	2	2.152832e-01	1	6.680000e-01	5.459153e-01	1
5591	AOX1	aldehyde oxidase 1	4164	2	0	1	2	0	0	1	3	3	3	4.024048e-01	1	4.610000e-01	5.459205e-01	1
5592	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	2145	2	0	0	2	0	0	0	2	2	2	2.152871e-01	1	8.180000e-01	5.459213e-01	1
5593	ADHFE1	alcohol dehydrogenase, iron containing, 1	2128	15	0	0	1	0	0	0	1	1	1	5.460437e-01	NaN	NaN	5.460437e-01	1
5594	LRRCC1	leucine rich repeat and coiled-coil domain containing 1	3171	7	0	0	4	0	0	0	4	4	4	2.153928e-01	1	9.860000e-01	5.460836e-01	1
5595	PARD6G	par-6 partitioning defective 6 homolog gamma (C. elegans)	1139	58	0	0	1	0	0	0	1	1	1	5.461146e-01	NaN	NaN	5.461146e-01	1
5596	PURG	purine-rich element binding protein G	1153	45	0	0	1	0	0	0	1	1	1	5.461955e-01	NaN	NaN	5.461955e-01	1
5597	ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	1232	2	0	0	1	0	0	0	1	1	1	5.462662e-01	NaN	NaN	5.462662e-01	1
5598	M6PR	mannose-6-phosphate receptor (cation dependent)	857	0	0	0	1	0	0	0	1	1	1	5.464723e-01	NaN	NaN	5.464723e-01	1
5599	ISM2	isthmin 2 homolog (zebrafish)	1742	102	0	1	1	0	0	0	1	1	1	5.465223e-01	NaN	NaN	5.465223e-01	1
5600	ATG9A	ATG9 autophagy related 9 homolog A (S. cerevisiae)	3077	18	0	1	0	0	1	1	2	2	2	2.156989e-01	1	4.210000e-01	5.465533e-01	1
5601	SYK	spleen tyrosine kinase	1960	2	0	0	2	0	0	0	2	2	2	2.157117e-01	1	9.200000e-02	5.465730e-01	1
5602	ZNF618	zinc finger protein 618	2640	17	0	0	2	0	0	0	2	2	2	2.157576e-01	1	7.100000e-02	5.466434e-01	1
5603	CABC1	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	2000	7	0	1	3	0	0	0	3	3	3	2.157867e-01	1	9.500000e-01	5.466880e-01	1
5604	CALHM2	calcium homeostasis modulator 2	1109	0	0	0	1	0	0	0	1	1	1	5.466896e-01	NaN	NaN	5.466896e-01	1
5605	WDR35	WD repeat domain 35	3657	3	0	0	1	0	0	0	1	1	1	5.467035e-01	NaN	NaN	5.467035e-01	1
5606	METAP2	methionyl aminopeptidase 2	1477	63	1	0	0	0	0	1	1	1	1	5.469408e-01	NaN	NaN	5.469408e-01	1
5607	SOX17	SRY (sex determining region Y)-box 17	1249	74	0	0	0	0	0	1	1	1	1	5.469442e-01	NaN	NaN	5.469442e-01	1
5608	LPAR4	lysophosphatidic acid receptor 4	1117	17	1	0	2	0	0	0	2	1	2	5.469850e-01	NaN	NaN	5.469850e-01	1
5609	C1orf159	chromosome 1 open reading frame 159	629	8	0	0	1	0	0	0	1	1	1	5.470429e-01	NaN	NaN	5.470429e-01	1
5610	C20orf3	chromosome 20 open reading frame 3	1285	18	0	0	1	0	0	0	1	1	1	5.472033e-01	NaN	NaN	5.472033e-01	1
5611	ZNF544	zinc finger protein 544	2164	43	1	0	3	0	0	0	3	3	3	3.786524e-01	1	5.020000e-01	5.473375e-01	1
5612	HELB	helicase (DNA) B	3316	14	0	0	2	0	0	0	2	2	2	2.162821e-01	1	7.480000e-01	5.474471e-01	1
5613	YY1	YY1 transcription factor	1261	35	0	0	1	0	0	0	1	1	1	5.474766e-01	NaN	NaN	5.474766e-01	1
5614	EPHB4	EPH receptor B4	3028	12	0	0	1	0	0	0	1	1	1	5.475090e-01	NaN	NaN	5.475090e-01	1
5615	KIAA0895	KIAA0895	1616	0	0	0	1	0	0	0	1	1	1	5.475199e-01	NaN	NaN	5.475199e-01	1
5616	ESX1	ESX homeobox 1	1235	52	0	0	1	0	0	0	1	1	1	5.476476e-01	NaN	NaN	5.476476e-01	1
5617	TCP10	t-complex 10 homolog (mouse)	1011	28	0	0	1	0	0	0	1	1	1	5.477225e-01	NaN	NaN	5.477225e-01	1
5618	DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	2440	5	0	0	1	0	0	0	1	1	1	5.478765e-01	NaN	NaN	5.478765e-01	1
5619	CARD8	caspase recruitment domain family, member 8	1660	30	0	0	1	0	0	0	1	1	1	5.478857e-01	NaN	NaN	5.478857e-01	1
5620	MSL3	male-specific lethal 3 homolog (Drosophila)	1692	11	1	1	0	1	0	0	1	1	1	5.480116e-01	NaN	NaN	5.480116e-01	1
5621	TFAP2E	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)	1353	19	0	0	1	0	0	0	1	1	1	5.480173e-01	NaN	NaN	5.480173e-01	1
5622	CDK6	cyclin-dependent kinase 6	1005	48	0	0	1	0	0	0	1	1	1	5.481194e-01	NaN	NaN	5.481194e-01	1
5623	RNASEH2A	ribonuclease H2, subunit A	930	25	0	1	1	0	0	0	1	1	1	5.481399e-01	NaN	NaN	5.481399e-01	1
5624	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	9517	0	0	0	4	0	0	0	4	4	4	4.515698e-01	1	2.710000e-01	5.481684e-01	1
5625	C3AR1	complement component 3a receptor 1	1453	28	0	1	1	0	0	0	1	1	1	5.481842e-01	NaN	NaN	5.481842e-01	1
5626	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	1105	186	0	0	1	0	0	0	1	1	1	5.482180e-01	NaN	NaN	5.482180e-01	1
5627	OR52R1	olfactory receptor, family 52, subfamily R, member 1	947	20	0	1	1	0	0	0	1	1	1	5.483248e-01	NaN	NaN	5.483248e-01	1
5628	PPP2R5D	protein phosphatase 2, regulatory subunit B', delta isoform	1871	22	0	1	2	0	1	1	4	3	4	2.168618e-01	1	4.360000e-01	5.483339e-01	1
5629	CD5	CD5 molecule	1529	26	0	0	1	0	0	0	1	1	1	5.485289e-01	NaN	NaN	5.485289e-01	1
5630	SP3	Sp3 transcription factor	2370	7	0	0	3	0	0	0	3	3	3	2.171835e-01	1	4.750000e-01	5.488255e-01	1
5631	UBA6	ubiquitin-like modifier activating enzyme 6	3289	4	0	0	1	0	0	0	1	1	1	5.489328e-01	NaN	NaN	5.489328e-01	1
5632	ZCCHC16	zinc finger, CCHC domain containing 16	933	7	0	0	1	0	0	0	1	1	1	5.491153e-01	NaN	NaN	5.491153e-01	1
5633	CLCNKA	chloride channel Ka	2140	8	0	0	1	0	0	0	1	1	1	5.492302e-01	NaN	NaN	5.492302e-01	1
5634	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1	3930	5	0	0	4	0	0	0	4	4	4	2.174491e-01	1	4.920000e-01	5.492309e-01	1
5635	C15orf23	chromosome 15 open reading frame 23	1024	2	2	0	1	0	0	0	1	1	1	5.492894e-01	NaN	NaN	5.492894e-01	1
5636	STK32A	serine/threonine kinase 32A	1270	1	0	0	1	0	0	0	1	1	1	5.492894e-01	NaN	NaN	5.492894e-01	1
5637	TYMS	thymidylate synthetase	1070	7	0	0	1	0	0	0	1	1	1	5.493247e-01	NaN	NaN	5.493247e-01	1
5638	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	1240	41	0	0	1	0	0	0	1	1	1	5.493530e-01	NaN	NaN	5.493530e-01	1
5639	ASL	argininosuccinate lyase	1459	20	0	0	1	0	0	0	1	1	1	5.495450e-01	NaN	NaN	5.495450e-01	1
5640	PCNXL2	pecanex-like 2 (Drosophila)	6546	9	0	0	6	0	0	0	6	6	6	2.177251e-01	1	5.710000e-01	5.496518e-01	1
5641	ZNF383	zinc finger protein 383	1446	37	0	0	3	0	0	0	3	3	3	2.177303e-01	1	4.480000e-01	5.496597e-01	1
